Date : 2026-04-09 04:31:30
Directory : c:\Users\kiria\Desktop\fullstack\shopping_mall
Total : 422 files,  55827 codes, 1189 comments, 4111 blanks, all 61127 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| backend\src\audit\interceptors                                                                                         |          1 |         86 |          8 |         12 |        106 |
| backend\src\auth                                                                                                       |         17 |      1,523 |        116 |        323 |      1,962 |
| backend\src\auth (Files)                                                                                               |          6 |      1,273 |         90 |        246 |      1,609 |
| backend\src\auth\decorators                                                                                            |          2 |         12 |          0 |          5 |         17 |
| backend\src\auth\dto                                                                                                   |          4 |         53 |         16 |         13 |         82 |
| backend\src\auth\entity                                                                                                |          1 |         31 |         10 |         13 |         54 |
| backend\src\auth\guards                                                                                                |          4 |        154 |          0 |         46 |        200 |
| backend\src\cart                                                                                                       |          8 |        285 |         10 |         49 |        344 |
| backend\src\cart (Files)                                                                                               |          3 |        198 |         10 |         28 |        236 |
| backend\src\cart\dto                                                                                                   |          3 |         53 |          0 |         11 |         64 |
| backend\src\cart\entity                                                                                                |          2 |         34 |          0 |         10 |         44 |
| backend\src\category                                                                                                   |          9 |        593 |         51 |        147 |        791 |
| backend\src\category (Files)                                                                                           |          5 |        525 |         51 |        125 |        701 |
| backend\src\category\dto                                                                                               |          3 |         40 |          0 |         11 |         51 |
| backend\src\category\entity                                                                                            |          1 |         28 |          0 |         11 |         39 |
| backend\src\common                                                                                                     |         11 |        814 |        104 |        123 |      1,041 |
| backend\src\common (Files)                                                                                             |          3 |        426 |         54 |         61 |        541 |
| backend\src\common\const                                                                                               |          1 |          2 |          0 |          0 |          2 |
| backend\src\common\dto                                                                                                 |          1 |         90 |         32 |         23 |        145 |
| backend\src\common\entity                                                                                              |          1 |          9 |          0 |          3 |         12 |
| backend\src\common\interceptors                                                                                        |          1 |         39 |          6 |          6 |         51 |
| backend\src\common\seeds                                                                                               |          3 |        201 |          2 |         20 |        223 |
| backend\src\common\utils                                                                                               |          1 |         47 |         10 |         10 |         67 |
| backend\src\data                                                                                                       |          6 |        146 |          0 |          6 |        152 |
| backend\src\inquiry                                                                                                    |          7 |        333 |          7 |         75 |        415 |
| backend\src\inquiry (Files)                                                                                            |          3 |        238 |          7 |         41 |        286 |
| backend\src\inquiry\dto                                                                                                |          3 |         49 |          0 |         20 |         69 |
| backend\src\inquiry\entity                                                                                             |          1 |         46 |          0 |         14 |         60 |
| backend\src\intrastructure                                                                                             |          7 |        538 |          9 |         64 |        611 |
| backend\src\intrastructure\emailVerify                                                                                 |          5 |        371 |          0 |         28 |        399 |
| backend\src\intrastructure\emailVerify (Files)                                                                         |          3 |        307 |          0 |         19 |        326 |
| backend\src\intrastructure\emailVerify\interfaces                                                                      |          1 |         15 |          0 |          3 |         18 |
| backend\src\intrastructure\emailVerify\providers                                                                       |          1 |         49 |          0 |          6 |         55 |
| backend\src\intrastructure\redis                                                                                       |          2 |        167 |          9 |         36 |        212 |
| backend\src\order                                                                                                      |         13 |      1,067 |         71 |        213 |      1,351 |
| backend\src\order (Files)                                                                                              |          3 |        689 |         57 |        129 |        875 |
| backend\src\order\dto                                                                                                  |          4 |         98 |          0 |         19 |        117 |
| backend\src\order\entity                                                                                               |          3 |        129 |          6 |         42 |        177 |
| backend\src\order\events                                                                                               |          2 |         53 |          0 |          7 |         60 |
| backend\src\order\listeners                                                                                            |          1 |         98 |          8 |         16 |        122 |
| backend\src\payment                                                                                                    |          8 |        577 |         62 |        107 |        746 |
| backend\src\payment (Files)                                                                                            |          3 |        481 |         48 |         79 |        608 |
| backend\src\payment\dto                                                                                                |          4 |         52 |         12 |         12 |         76 |
| backend\src\payment\entity                                                                                             |          1 |         44 |          2 |         16 |         62 |
| backend\src\product                                                                                                    |         24 |      1,864 |         93 |        394 |      2,351 |
| backend\src\product (Files)                                                                                            |          6 |      1,364 |         83 |        276 |      1,723 |
| backend\src\product\dto                                                                                                |          6 |        155 |          5 |         33 |        193 |
| backend\src\product\entity                                                                                             |          9 |        248 |          3 |         68 |        319 |
| backend\src\product\entity (Files)                                                                                     |          3 |        135 |          3 |         39 |        177 |
| backend\src\product\entity\beauty                                                                                      |          1 |         21 |          0 |          4 |         25 |
| backend\src\product\entity\book                                                                                        |          1 |         14 |          0 |          5 |         19 |
| backend\src\product\entity\clothing                                                                                    |          1 |         33 |          0 |          8 |         41 |
| backend\src\product\entity\food                                                                                        |          1 |         13 |          0 |          2 |         15 |
| backend\src\product\entity\living-product                                                                              |          1 |         22 |          0 |          7 |         29 |
| backend\src\product\entity\shoes                                                                                       |          1 |         10 |          0 |          3 |         13 |
| backend\src\product\events                                                                                             |          1 |         19 |          0 |          3 |         22 |
| backend\src\product\interfaces                                                                                         |          1 |         38 |          2 |          7 |         47 |
| backend\src\product\listeners                                                                                          |          1 |         40 |          0 |          7 |         47 |
| backend\src\review                                                                                                     |         11 |        431 |         10 |         90 |        531 |
| backend\src\review (Files)                                                                                             |          5 |        273 |          7 |         50 |        330 |
| backend\src\review\dto                                                                                                 |          3 |         59 |          0 |         20 |         79 |
| backend\src\review\entity                                                                                              |          1 |         28 |          0 |          9 |         37 |
| backend\src\review\events                                                                                              |          1 |         13 |          0 |          2 |         15 |
| backend\src\review\listeners                                                                                           |          1 |         58 |          3 |          9 |         70 |
| backend\src\seller                                                                                                     |          9 |        616 |         32 |        137 |        785 |
| backend\src\seller (Files)                                                                                             |          5 |        524 |         32 |        106 |        662 |
| backend\src\seller\dto                                                                                                 |          3 |         45 |          0 |         14 |         59 |
| backend\src\seller\entity                                                                                              |          1 |         47 |          0 |         17 |         64 |
| backend\src\settlement                                                                                                 |          8 |        414 |         11 |         97 |        522 |
| backend\src\settlement (Files)                                                                                         |          3 |        214 |          5 |         41 |        260 |
| backend\src\settlement\dto                                                                                             |          2 |         68 |          0 |         26 |         94 |
| backend\src\settlement\entity                                                                                          |          1 |         46 |          4 |         14 |         64 |
| backend\src\settlement\events                                                                                          |          1 |          8 |          0 |          1 |          9 |
| backend\src\settlement\listeners                                                                                       |          1 |         78 |          2 |         15 |         95 |
| backend\src\user                                                                                                       |         10 |        225 |          0 |         61 |        286 |
| backend\src\user (Files)                                                                                               |          5 |        136 |          0 |         32 |        168 |
| backend\src\user\dto                                                                                                   |          3 |         46 |          0 |         16 |         62 |
| backend\src\user\entity                                                                                                |          2 |         43 |          0 |         13 |         56 |
| backend\src\wish-list                                                                                                  |          8 |        216 |          0 |         48 |        264 |
| backend\src\wish-list (Files)                                                                                          |          5 |        169 |          0 |         32 |        201 |
| backend\src\wish-list\dto                                                                                              |          2 |         28 |          0 |         11 |         39 |
| backend\src\wish-list\entity                                                                                           |          1 |         19 |          0 |          5 |         24 |
| docs                                                                                                                   |         11 |      2,390 |          1 |        616 |      3,007 |
| docs (Files)                                                                                                           |          5 |        986 |          1 |        162 |      1,149 |
| docs\chat                                                                                                              |          6 |      1,404 |          0 |        454 |      1,858 |
| frontend                                                                                                               |        137 |      6,596 |        433 |        958 |      7,987 |
| frontend (Files)                                                                                                       |         10 |        294 |         21 |         27 |        342 |
| frontend\specs                                                                                                         |          1 |          9 |          0 |          2 |         11 |
| frontend\src                                                                                                           |        126 |      6,293 |        412 |        929 |      7,634 |
| frontend\src\app                                                                                                       |         52 |      2,912 |        135 |        352 |      3,399 |
| frontend\src\app (Files)                                                                                               |          4 |        442 |          0 |          9 |        451 |
| frontend\src\app\(auth)                                                                                                |          5 |        157 |          0 |         26 |        183 |
| frontend\src\app\(auth) (Files)                                                                                        |          1 |          7 |          0 |          1 |          8 |
| frontend\src\app\(auth)\check-email                                                                                    |          1 |         66 |          0 |         11 |         77 |
| frontend\src\app\(auth)\login                                                                                          |          1 |         10 |          0 |          2 |         12 |
| frontend\src\app\(auth)\register                                                                                       |          1 |          9 |          0 |          3 |         12 |
| frontend\src\app\(auth)\verify-email                                                                                   |          1 |         65 |          0 |          9 |         74 |
| frontend\src\app\(main)                                                                                                |         42 |      2,310 |        135 |        316 |      2,761 |
| frontend\src\app\(main) (Files)                                                                                        |          2 |         60 |          6 |          9 |         75 |
| frontend\src\app\(main)\admin                                                                                          |          9 |         27 |          0 |          9 |         36 |
| frontend\src\app\(main)\admin (Files)                                                                                  |          2 |          6 |          0 |          2 |          8 |
| frontend\src\app\(main)\admin\audit-logs                                                                               |          1 |          3 |          0 |          1 |          4 |
| frontend\src\app\(main)\admin\categories                                                                               |          1 |          3 |          0 |          1 |          4 |
| frontend\src\app\(main)\admin\orders                                                                                   |          2 |          6 |          0 |          2 |          8 |
| frontend\src\app\(main)\admin\orders (Files)                                                                           |          1 |          3 |          0 |          1 |          4 |
| frontend\src\app\(main)\admin\orders\[orderNumber]                                                                     |          1 |          3 |          0 |          1 |          4 |
| frontend\src\app\(main)\admin\products                                                                                 |          1 |          3 |          0 |          1 |          4 |
| frontend\src\app\(main)\admin\sellers                                                                                  |          1 |          3 |          0 |          1 |          4 |
| frontend\src\app\(main)\admin\settlements                                                                              |          1 |          3 |          0 |          1 |          4 |
| frontend\src\app\(main)\cart                                                                                           |          2 |        199 |         10 |         35 |        244 |
| frontend\src\app\(main)\checkout                                                                                       |          2 |        397 |         26 |         58 |        481 |
| frontend\src\app\(main)\checkout (Files)                                                                               |          1 |        265 |         17 |         35 |        317 |
| frontend\src\app\(main)\checkout\complete                                                                              |          1 |        132 |          9 |         23 |        164 |
| frontend\src\app\(main)\my                                                                                             |         10 |        654 |         34 |         73 |        761 |
| frontend\src\app\(main)\my (Files)                                                                                     |          2 |          6 |          0 |          2 |          8 |
| frontend\src\app\(main)\my\cart                                                                                        |          1 |          3 |          0 |          1 |          4 |
| frontend\src\app\(main)\my\inquiries                                                                                   |          1 |          3 |          0 |          1 |          4 |
| frontend\src\app\(main)\my\orders                                                                                      |          2 |        630 |         34 |         65 |        729 |
| frontend\src\app\(main)\my\orders (Files)                                                                              |          1 |        218 |         11 |         26 |        255 |
| frontend\src\app\(main)\my\orders\[orderNumber]                                                                        |          1 |        412 |         23 |         39 |        474 |
| frontend\src\app\(main)\my\password                                                                                    |          1 |          3 |          0 |          1 |          4 |
| frontend\src\app\(main)\my\reviews                                                                                     |          1 |          3 |          0 |          1 |          4 |
| frontend\src\app\(main)\my\seller-apply                                                                                |          1 |          3 |          0 |          1 |          4 |
| frontend\src\app\(main)\my\wishlist                                                                                    |          1 |          3 |          0 |          1 |          4 |
| frontend\src\app\(main)\product                                                                                        |          1 |         15 |          0 |          8 |         23 |
| frontend\src\app\(main)\products                                                                                       |          9 |        937 |         59 |        117 |      1,113 |
| frontend\src\app\(main)\products (Files)                                                                               |          2 |        218 |          7 |         27 |        252 |
| frontend\src\app\(main)\products\[id]                                                                                  |          7 |        719 |         52 |         90 |        861 |
| frontend\src\app\(main)\seller                                                                                         |          7 |         21 |          0 |          7 |         28 |
| frontend\src\app\(main)\seller (Files)                                                                                 |          2 |          6 |          0 |          2 |          8 |
| frontend\src\app\(main)\seller\inquiries                                                                               |          1 |          3 |          0 |          1 |          4 |
| frontend\src\app\(main)\seller\orders                                                                                  |          1 |          3 |          0 |          1 |          4 |
| frontend\src\app\(main)\seller\products                                                                                |          2 |          6 |          0 |          2 |          8 |
| frontend\src\app\(main)\seller\products (Files)                                                                        |          1 |          3 |          0 |          1 |          4 |
| frontend\src\app\(main)\seller\products\new                                                                            |          1 |          3 |          0 |          1 |          4 |
| frontend\src\app\(main)\seller\settlements                                                                             |          1 |          3 |          0 |          1 |          4 |
| frontend\src\app\api                                                                                                   |          1 |          3 |          0 |          1 |          4 |
| frontend\src\app\api\hello                                                                                             |          1 |          3 |          0 |          1 |          4 |
| frontend\src\components                                                                                                |         46 |      2,349 |        110 |        329 |      2,788 |
| frontend\src\components\banner                                                                                         |          2 |        152 |         20 |         26 |        198 |
| frontend\src\components\common                                                                                         |         20 |        813 |         31 |         91 |        935 |
| frontend\src\components\common (Files)                                                                                 |          1 |          8 |          0 |          1 |          9 |
| frontend\src\components\common\Badge                                                                                   |          2 |         75 |          1 |         10 |         86 |
| frontend\src\components\common\Button                                                                                  |          2 |         85 |          1 |          6 |         92 |
| frontend\src\components\common\Card                                                                                    |          2 |        139 |         10 |         13 |        162 |
| frontend\src\components\common\Input                                                                                   |          2 |         71 |          0 |          7 |         78 |
| frontend\src\components\common\Modal                                                                                   |          2 |        120 |         13 |         17 |        150 |
| frontend\src\components\common\SearchBar                                                                               |          2 |         54 |          0 |          9 |         63 |
| frontend\src\components\common\Select                                                                                  |          2 |        109 |          3 |         11 |        123 |
| frontend\src\components\common\Skeleton                                                                                |          1 |         11 |          0 |          2 |         13 |
| frontend\src\components\common\Spinner                                                                                 |          2 |         51 |          1 |          7 |         59 |
| frontend\src\components\common\Textarea                                                                                |          2 |         90 |          2 |          8 |        100 |
| frontend\src\components\footer                                                                                         |          1 |        132 |          9 |          9 |        150 |
| frontend\src\components\forms                                                                                          |          3 |        446 |         20 |         65 |        531 |
| frontend\src\components\header                                                                                         |         12 |        458 |         17 |         79 |        554 |
| frontend\src\components\header (Files)                                                                                 |          1 |         20 |          0 |          4 |         24 |
| frontend\src\components\header\mainHeader                                                                              |          2 |         48 |          0 |          9 |         57 |
| frontend\src\components\header\navbar                                                                                  |          6 |        275 |         16 |         51 |        342 |
| frontend\src\components\header\topbar                                                                                  |          3 |        115 |          1 |         15 |        131 |
| frontend\src\components\home                                                                                           |          5 |        295 |         13 |         46 |        354 |
| frontend\src\components\icons                                                                                          |          2 |         41 |          0 |          9 |         50 |
| frontend\src\components\layout                                                                                         |          1 |         12 |          0 |          4 |         16 |
| frontend\src\contexts                                                                                                  |          1 |        104 |          8 |         20 |        132 |
| frontend\src\hook                                                                                                      |          2 |         67 |         19 |         16 |        102 |
| frontend\src\hooks                                                                                                     |          4 |        175 |         69 |         57 |        301 |
| frontend\src\lib                                                                                                       |          7 |        231 |         44 |         51 |        326 |
| frontend\src\lib (Files)                                                                                               |          1 |         13 |          6 |          3 |         22 |
| frontend\src\lib\axios                                                                                                 |          1 |        114 |         28 |         34 |        176 |
| frontend\src\lib\react-query                                                                                           |          5 |        104 |         10 |         14 |        128 |
| frontend\src\model                                                                                                     |          4 |        221 |         12 |         40 |        273 |
| frontend\src\providers                                                                                                 |          1 |         16 |          0 |          5 |         21 |
| frontend\src\service                                                                                                   |          9 |        218 |         15 |         59 |        292 |
| mocks                                                                                                                  |         16 |      8,115 |          5 |         35 |      8,155 |
| mocks (Files)                                                                                                          |          8 |        139 |          4 |         17 |        160 |
| mocks\src                                                                                                              |          8 |      7,976 |          1 |         18 |      7,995 |
| mocks\src (Files)                                                                                                      |          1 |          1 |          0 |          1 |          2 |
| mocks\src\lib                                                                                                          |          7 |      7,975 |          1 |         17 |      7,993 |
| mocks\src\lib (Files)                                                                                                  |          1 |          6 |          0 |          0 |          6 |
| mocks\src\lib\beauty                                                                                                   |          1 |      1,039 |          0 |          3 |      1,042 |
| mocks\src\lib\book                                                                                                     |          1 |      2,264 |          1 |          2 |      2,267 |
| mocks\src\lib\clothing                                                                                                 |          1 |      1,190 |          0 |          3 |      1,193 |
| mocks\src\lib\food                                                                                                     |          1 |      1,055 |          0 |          3 |      1,058 |
| mocks\src\lib\livingProduct                                                                                            |          1 |      1,401 |          0 |          2 |      1,403 |
| mocks\src\lib\shoes                                                                                                    |          1 |      1,020 |          0 |          4 |      1,024 |
| shared                                                                                                                 |         41 |        620 |         24 |         95 |        739 |
| shared (Files)                                                                                                         |          8 |        131 |          4 |         17 |        152 |
| shared\src                                                                                                             |         33 |        489 |         20 |         78 |        587 |
| shared\src (Files)                                                                                                     |          1 |          1 |          0 |          1 |          2 |
| shared\src\lib                                                                                                         |         32 |        488 |         20 |         77 |        585 |
| shared\src\lib (Files)                                                                                                 |          1 |          1 |          0 |          0 |          1 |
| shared\src\lib\types                                                                                                   |         31 |        487 |         20 |         77 |        584 |
| shared\src\lib\types (Files)                                                                                           |          2 |         15 |          0 |          0 |         15 |
| shared\src\lib\types\auth                                                                                              |          3 |         28 |         15 |          5 |         48 |
| shared\src\lib\types\cart                                                                                              |          2 |         13 |          0 |          4 |         17 |
| shared\src\lib\types\inquiry                                                                                           |          2 |         32 |          0 |          7 |         39 |
| shared\src\lib\types\order                                                                                             |          3 |         65 |          0 |         12 |         77 |
| shared\src\lib\types\product                                                                                           |         11 |        233 |          4 |         28 |        265 |
| shared\src\lib\types\product (Files)                                                                                   |          4 |        163 |          3 |         13 |        179 |
| shared\src\lib\types\product\categories                                                                                |          7 |         70 |          1 |         15 |         86 |
| shared\src\lib\types\review                                                                                            |          2 |         28 |          0 |          5 |         33 |
| shared\src\lib\types\settlement                                                                                        |          2 |         28 |          0 |          5 |         33 |
| shared\src\lib\types\user                                                                                              |          2 |         29 |          0 |          6 |         35 |
| shared\src\lib\types\wishList                                                                                          |          2 |         16 |          1 |          5 |         22 |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                               | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\kiria\Desktop\fullstack\shopping_mall\.claude\settings.local.json                                             | JSON               |          6 |          0 |          1 |          7 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\.github\workflows\ci.yml                                                | YAML               |         25 |          9 |          8 |         42 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\.mcp.json                                                               | JSON               |         12 |          0 |          1 |         13 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\.prettierignore                                                         | Ignore             |          4 |          1 |          0 |          5 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\.prettierrc                                                             | JSON               |          3 |          0 |          1 |          4 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\.yarn\releases\yarn-4.10.3.cjs                                          | JavaScript         |        857 |          5 |         81 |        943 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\.yarnrc.yml                                                             | YAML               |          9 |          3 |          3 |         15 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\CLAUDE.md                                                               | Markdown           |         13 |          3 |          6 |         22 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\Dockerfile                                                              | Docker             |         47 |         19 |         21 |         87 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\Makefile                                                                | Makefile           |         64 |         12 |         28 |        104 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\README.md                                                               | Markdown           |        236 |          0 |         86 |        322 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend-e2e\.spec.swcrc                                                 | JSON with Comments |         22 |          0 |          1 |         23 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend-e2e\eslint.config.mjs                                           | JavaScript         |          2 |          0 |          2 |          4 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend-e2e\jest.config.ts                                              | TypeScript         |         18 |          3 |          4 |         25 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend-e2e\package.json                                                | JSON               |         26 |          0 |          1 |         27 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend-e2e\src\backend\backend.spec.ts                                 | TypeScript         |          8 |          0 |          3 |         11 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend-e2e\src\support\global-setup.ts                                 | TypeScript         |          9 |          3 |          5 |         17 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend-e2e\src\support\global-teardown.ts                              | TypeScript         |          6 |          3 |          2 |         11 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend-e2e\src\support\test-setup.ts                                   | TypeScript         |          6 |          2 |          2 |         10 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend-e2e\tsconfig.json                                               | JSON with Comments |         11 |          0 |          1 |         12 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\.spec.swcrc                                                     | JSON with Comments |         22 |          0 |          1 |         23 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\eslint.config.mjs                                               | JavaScript         |          2 |          0 |          2 |          4 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\jest.config.ts                                                  | TypeScript         |         16 |          6 |          4 |         26 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\package.json                                                    | JSON               |        151 |          0 |          1 |        152 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\app\app.controller.spec.ts                                  | TypeScript         |         18 |          0 |          4 |         22 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\app\app.controller.ts                                       | TypeScript         |         15 |          0 |          4 |         19 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\app\app.module.ts                                           | TypeScript         |         59 |          0 |          2 |         61 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\app\app.service.spec.ts                                     | TypeScript         |         16 |          0 |          5 |         21 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\app\app.service.ts                                          | TypeScript         |          7 |          0 |          2 |          9 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\audit\audit.controller.spec.ts                              | TypeScript         |         24 |          0 |          5 |         29 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\audit\audit.controller.ts                                   | TypeScript         |         20 |          0 |          3 |         23 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\audit\audit.module.ts                                       | TypeScript         |         26 |          0 |          2 |         28 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\audit\audit.service.spec.ts                                 | TypeScript         |         22 |          0 |          5 |         27 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\audit\audit.service.ts                                      | TypeScript         |         83 |          1 |         14 |         98 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\audit\decorators\auditable.decorator.ts                     | TypeScript         |         13 |          9 |          5 |         27 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\audit\dto\audit-log-query.dto.ts                            | TypeScript         |         35 |          0 |          9 |         44 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\audit\dto\audit-log-response.dto.ts                         | TypeScript         |         21 |          0 |         10 |         31 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\audit\entity\audit-log.entity.ts                            | TypeScript         |         62 |         11 |         21 |         94 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\audit\interceptors\audit.interceptor.ts                     | TypeScript         |         86 |          8 |         12 |        106 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\auth.controller.spec.ts                                | TypeScript         |         34 |          0 |          5 |         39 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\auth.controller.ts                                     | TypeScript         |        204 |         10 |         28 |        242 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\auth.integration.spec.ts                               | TypeScript         |        186 |         19 |         38 |        243 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\auth.module.ts                                         | TypeScript         |         36 |          0 |          2 |         38 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\auth.service.spec.ts                                   | TypeScript         |        309 |         13 |         64 |        386 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\auth.service.ts                                        | TypeScript         |        504 |         48 |        109 |        661 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\decorators\roles.decorator.ts                          | TypeScript         |          4 |          0 |          2 |          6 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\decorators\user.decorator.ts                           | TypeScript         |          8 |          0 |          3 |         11 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\dto\check-email.dto.ts                                 | TypeScript         |          6 |          3 |          2 |         11 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\dto\check-nickname.dto.ts                              | TypeScript         |          8 |          3 |          2 |         13 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\dto\login.dto.ts                                       | TypeScript         |         13 |          5 |          4 |         22 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\dto\register.dto.ts                                    | TypeScript         |         26 |          5 |          5 |         36 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\entity\refresh-token.entity.ts                         | TypeScript         |         31 |         10 |         13 |         54 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\guards\jwt-auth.guard.spec.ts                          | TypeScript         |         42 |          0 |         11 |         53 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\guards\jwt-auth.guard.ts                               | TypeScript         |         26 |          0 |          6 |         32 |
