Date : 2026-03-29 21:53:43
Directory : c:\Users\kiria\Desktop\fullstack\shopping_mall
Total : 252 files,  18455 codes, 609 comments, 2058 blanks, all 21122 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend-e2e\eslint.config.mjs                                           | JavaScript         |          2 |          0 |          2 |          4 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend-e2e\jest.config.ts                                              | TypeScript         |         18 |          3 |          4 |         25 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend-e2e\package.json                                                | JSON               |         26 |          0 |          1 |         27 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend-e2e\src\backend\backend.spec.ts                                 | TypeScript         |          8 |          0 |          3 |         11 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend-e2e\src\support\global-setup.ts                                 | TypeScript         |          9 |          3 |          5 |         17 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend-e2e\src\support\global-teardown.ts                              | TypeScript         |          6 |          3 |          2 |         11 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend-e2e\src\support\test-setup.ts                                   | TypeScript         |          6 |          2 |          2 |         10 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend-e2e\tsconfig.json                                               | JSON with Comments |         11 |          0 |          1 |         12 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\.spec.swcrc                                                     | JSON with Comments |         22 |          0 |          1 |         23 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\eslint.config.mjs                                               | JavaScript         |          2 |          0 |          2 |          4 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\jest.config.ts                                                  | TypeScript         |         16 |          6 |          4 |         26 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\package.json                                                    | JSON               |        144 |          0 |          1 |        145 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\app\app.controller.spec.ts                                  | TypeScript         |         18 |          0 |          4 |         22 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\app\app.controller.ts                                       | TypeScript         |         15 |          0 |          4 |         19 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\app\app.module.ts                                           | TypeScript         |         45 |          0 |          2 |         47 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\app\app.service.spec.ts                                     | TypeScript         |         16 |          0 |          5 |         21 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\app\app.service.ts                                          | TypeScript         |          7 |          0 |          2 |          9 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\audit\audit.controller.spec.ts                              | TypeScript         |         24 |          0 |          5 |         29 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\audit\audit.controller.ts                                   | TypeScript         |          6 |          0 |          2 |          8 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\audit\audit.module.ts                                       | TypeScript         |         10 |          0 |          3 |         13 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\audit\audit.service.spec.ts                                 | TypeScript         |         22 |          0 |          5 |         27 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\audit\audit.service.ts                                      | TypeScript         |         55 |          1 |          8 |         64 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\audit\entity\audit-log.entity.ts                            | TypeScript         |         36 |          0 |         11 |         47 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\auth.controller.spec.ts                                | TypeScript         |         34 |          0 |          5 |         39 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\auth.controller.ts                                     | TypeScript         |        203 |          9 |         27 |        239 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\auth.integration.spec.ts                               | TypeScript         |        186 |         19 |         38 |        243 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\auth.module.ts                                         | TypeScript         |         36 |          0 |          2 |         38 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\auth.service.spec.ts                                   | TypeScript         |        309 |         13 |         64 |        386 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\auth.service.ts                                        | TypeScript         |        504 |         49 |        109 |        662 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\decorators\roles.decorator.ts                          | TypeScript         |          4 |          0 |          2 |          6 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\decorators\user.decorator.ts                           | TypeScript         |          8 |          0 |          3 |         11 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\dto\check-email.dto.ts                                 | TypeScript         |          6 |          3 |          2 |         11 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\dto\check-nickname.dto.ts                              | TypeScript         |          8 |          3 |          2 |         13 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\dto\login.dto.ts                                       | TypeScript         |         13 |          5 |          4 |         22 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\dto\register.dto.ts                                    | TypeScript         |         26 |          5 |          5 |         36 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\entity\refresh-token.entity.ts                         | TypeScript         |         31 |         10 |         13 |         54 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\guards\jwt-auth.guard.spec.ts                          | TypeScript         |         42 |          0 |         11 |         53 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\guards\jwt-auth.guard.ts                               | TypeScript         |         26 |          0 |          6 |         32 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\guards\roles.guard.spec.ts                             | TypeScript         |         55 |          0 |         20 |         75 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\auth\guards\roles.guard.ts                                  | TypeScript         |         31 |          0 |          9 |         40 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\category\category.controller.spec.ts                        | TypeScript         |        114 |          1 |         30 |        145 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\category\category.controller.ts                             | TypeScript         |         58 |          2 |          9 |         69 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\category\category.module.ts                                 | TypeScript         |         12 |          0 |          2 |         14 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\category\category.service.spec.ts                           | TypeScript         |        175 |          7 |         48 |        230 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\category\category.service.ts                                | TypeScript         |        128 |         34 |         30 |        192 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\category\dto\create-category.dto.ts                         | TypeScript         |         19 |          0 |          5 |         24 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\category\dto\update-category.dto.ts                         | TypeScript         |         15 |          0 |          4 |         19 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\category\dto\update-visibility.dto.ts                       | TypeScript         |          6 |          0 |          2 |          8 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\category\entity\category.entity.ts                          | TypeScript         |         28 |          0 |         11 |         39 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\common\common.controller.ts                                 | TypeScript         |          8 |          0 |          2 |         10 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\common\common.module.ts                                     | TypeScript         |          9 |          0 |          2 |         11 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\common\common.service.ts                                    | TypeScript         |        384 |         51 |         50 |        485 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\common\const\env-keys.const.ts                              | TypeScript         |          2 |          0 |          0 |          2 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\common\const\filter-mapper.const.ts                         | TypeScript         |         38 |          0 |          4 |         42 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\common\dto\paginate.dto.ts                                  | TypeScript         |         88 |         32 |         23 |        143 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\common\dto\validators\paginate-query.validator.ts           | TypeScript         |         55 |          5 |         10 |         70 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\common\entity\base.entity.ts                                | TypeScript         |          9 |          0 |          3 |         12 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\common\guards\paginate-query.guard.ts                       | TypeScript         |         49 |          5 |          9 |         63 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\common\interceptors\serialize.interceptor.ts                | TypeScript         |         37 |          6 |          6 |         49 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\common\seeds\product.seed.ts                                | TypeScript         |         31 |          2 |          5 |         38 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\common\seeds\roles.seed.ts                                  | TypeScript         |         19 |          0 |          3 |         22 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\data\beauty-products.ts                                     | TypeScript         |         18 |          0 |          1 |         19 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\data\book-products.ts                                       | TypeScript         |         21 |          0 |          1 |         22 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\data\clothing-products.ts                                   | TypeScript         |         21 |          0 |          1 |         22 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\data\food-products.ts                                       | TypeScript         |         17 |          0 |          1 |         18 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\data\living-products.ts                                     | TypeScript         |         22 |          0 |          1 |         23 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\data\shoes-products.ts                                      | TypeScript         |         18 |          0 |          1 |         19 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\intrastructure\emailVerify\email-template.service.ts        | TypeScript         |        242 |          0 |          8 |        250 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\intrastructure\emailVerify\email.module.ts                  | TypeScript         |         19 |          0 |          3 |         22 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\intrastructure\emailVerify\email.service.ts                 | TypeScript         |         46 |          0 |          8 |         54 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\intrastructure\emailVerify\interfaces\email.interface.ts    | TypeScript         |         15 |          0 |          3 |         18 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\intrastructure\emailVerify\providers\smtp-email.provider.ts | TypeScript         |         49 |          0 |          6 |         55 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\intrastructure\redis\redis.module.ts                        | TypeScript         |         35 |          0 |          3 |         38 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\intrastructure\redis\redis.service.ts                       | TypeScript         |        132 |          9 |         33 |        174 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\main.ts                                                     | TypeScript         |         61 |          7 |         11 |         79 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\dto\create-product.dto.ts                           | TypeScript         |         46 |          0 |         10 |         56 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\dto\paginate-product.dto.ts                         | TypeScript         |          6 |          0 |          2 |          8 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\dto\product-query.dto.ts                            | TypeScript         |         29 |          0 |          7 |         36 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\dto\product-response.dto.ts                         | TypeScript         |         50 |          0 |          8 |         58 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\dto\reject-product.dto.ts                           | TypeScript         |          6 |          0 |          2 |          8 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\dto\update-product.dto.ts                           | TypeScript         |          3 |          0 |          2 |          5 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\entity\beauty\beauty.entity.ts                      | TypeScript         |         21 |          0 |          4 |         25 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\entity\book\book.entity.ts                          | TypeScript         |         14 |          0 |          5 |         19 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\entity\clothing\clothing.entity.ts                  | TypeScript         |         33 |          0 |          8 |         41 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\entity\food\food.entity.ts                          | TypeScript         |         13 |          0 |          2 |         15 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\entity\living-product\living-product.entity.ts      | TypeScript         |         22 |          0 |          7 |         29 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\entity\product-image.entity.ts                      | TypeScript         |         14 |          0 |          5 |         19 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\entity\product.entity.ts                            | TypeScript         |        109 |          3 |         29 |        141 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\entity\shoes\shoes.entity.ts                        | TypeScript         |         10 |          0 |          3 |         13 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\entity\tag.entity.ts                                | TypeScript         |         10 |          0 |          3 |         13 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\events\product.events.ts                            | TypeScript         |         19 |          0 |          3 |         22 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\listeners\product-event.listener.ts                 | TypeScript         |         29 |          0 |          5 |         34 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\product.controller.spec.ts                          | TypeScript         |        163 |          0 |         38 |        201 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\product.controller.ts                               | TypeScript         |        132 |          4 |         14 |        150 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\product.module.ts                                   | TypeScript         |         40 |          0 |          2 |         42 |
| c:\Users\kiria\Desktop\fullstack\shopping_mall\backend\src\product\product.service.spec.ts                             | TypeScript         |        295 |         10 |         77 |        382 |
